Rank,Color
1,#57bb8a
2,#59bc8b
3,#5cbd8d
4,#5ebe8f
5,#61bf91
6,#64c093
7,#66c194
8,#69c296
9,#6bc398
10,#6ec49a
11,#71c59c
12,#73c69d
13,#76c79f
14,#78c8a1
15,#7bc9a3
16,#7ecaa5
17,#80cba7
18,#83cca8
19,#85cdaa
20,#88cfac
21,#8bd0ae
22,#8dd1b0
23,#90d2b1
24,#92d3b3
25,#95d4b5
26,#98d5b7
27,#9ad6b9
28,#9dd7ba
29,#9fd8bc
30,#a2d9be
31,#a5dac0
32,#a7dbc2
33,#aadcc4
34,#acddc5
35,#afdec7
36,#b2dfc9
37,#b4e0cb
38,#b7e2cd
39,#b9e3ce
40,#bce4d0
41,#bfe5d2
42,#c1e6d4
43,#c4e7d6
44,#c7e8d8
45,#c9e9d9
46,#cceadb
47,#ceebdd
48,#d1ecdf
49,#d4ede1
50,#d6eee2
51,#d9efe4
52,#dbf0e6
53,#def1e8
54,#e1f2ea
55,#e3f3eb
56,#e6f4ed
57,#e8f6ef
58,#ebf7f1
59,#eef8f3
60,#f0f9f5
61,#f3faf6
62,#f5fbf8
63,#f8fcfa
64,#fbfdfc
65,#fdfefe
66,#fffefe
67,#fffcfc
68,#fffafa
69,#fef8f8
70,#fef6f6
71,#fdf4f4
72,#fdf2f1
73,#fdf0ef
74,#fceeed
75,#fceceb
76,#fbeae9
77,#fbe8e7
78,#fbe6e4
79,#fae4e2
80,#fae2e0
81,#f9e0de
82,#f9dedc
83,#f9dcda
84,#f8dad7
85,#f8d8d5
86,#f8d6d3
87,#f7d4d1
88,#f7d2cf
89,#f6d0cc
90,#f6ceca
91,#f6ccc8
92,#f5cac6
93,#f5c8c4
94,#f4c6c2
95,#f4c4bf
96,#f4c2bd
97,#f3c0bb
98,#f3bdb9
99,#f3bbb7
100,#f2b9b5
101,#f2b7b2
102,#f1b5b0
103,#f1b3ae
104,#f1b1ac
105,#f0afaa
106,#f0ada8
107,#efaba5
108,#efa9a3
109,#efa7a1
110,#eea59f
111,#eea39d
112,#eda19b
113,#ed9f98
114,#ed9d96
115,#ec9b94
116,#ec9992
117,#ec9790
118,#eb958e
119,#eb938b
120,#ea9189
121,#ea8f87
122,#ea8d85
123,#e98b83
124,#e98981
125,#e8877e
126,#e8857c
127,#e8837a
128,#e78178
129,#e77f76
130,#e67c73