Team,TAN.CONF,TAN.WIN,SP.WIN,X2021.Off.TARP.Percentage,X2020.Off.Success.Rate.Rank,X2020.Off.Finishing.Drives,X2020.Off.Havoc,X2021.Def.TARP.Percentage,X2020.Def.Success.Rate.Rank,X2020.Def.Finishing.Drives,X2020.Def.Havoc,DK.Opener.Win.Totals,TAN,SP.Ratings,off_overall_EPA,off_passing_EPA,off_rushing_EPA,off_first_down_EPA,off_second_down_EPA,off_third_down_EPA,off_cumulative_total_EPA,off_cumulative_passing_EPA,off_cumulative_rushing_EPA,def_overall_EPA,def_passing_EPA,def_rushing_EPA,def_first_down_EPA,def_second_down_EPA,def_third_down_EPA,def_cumulative_total_EPA,def_cumulative_passing_EPA,def_cumulative_rushing_EPA,off_plays,off_drives,off_ppa,off_total_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yds,off_line_yds_total,off_second_lvl_yds,off_second_lvl_yds_total,off_open_field_yds,off_open_field_yds_total,off_pts_per_opp,off_field_pos_avg_start,off_field_pos_avg_predicted_points,off_havoc_total,off_havoc_front_seven,off_havoc_db,off_standard_downs_rate,off_standard_downs_ppa,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs_rate,off_passing_downs_ppa,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays_rate,off_rushing_plays_ppa,off_rushing_plays_total_ppa,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays_rate,off_passing_plays_ppa,off_passing_plays_total_ppa,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_ppa,def_total_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yds,def_line_yds_total,def_second_lvl_yds,def_second_lvl_yds_total,def_open_field_yds,def_open_field_yds_total,def_pts_per_opp,def_field_pos_avg_start,def_field_pos_avg_predicted_points,def_havoc_total,def_havoc_front_seven,def_havoc_db,def_standard_downs_rate,def_standard_downs_ppa,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs_rate,def_passing_downs_ppa,def_passing_downs_total_ppa,def_passing_downs_success_rate,def_passing_downs_explosiveness,def_rushing_plays_rate,def_rushing_plays_ppa,def_rushing_plays_total_ppa,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays_rate,def_passing_plays_ppa,def_passing_plays_success_rate,def_passing_plays_explosiveness
Air Force,37.42,65.74,63.83,0.08,1082,936,870,0.09,549,632,757,63,772.7,-78.9,1.4,1.36,1.35,-0.2,1.13,4.38,757.26,322.06,439.2,1.87,2.5,1.33,0.18,1.73,5.27,890.9,549.35,347.56,"5,468.00",979,1.4,757.26,4.3,13.62,7.84,2.31,30.89,9303,11.35,3295,14.65,4249,36.48,768.1,15.5,1.87,1.34,0.54,7.36,0.8,4.91,11.28,3.64,2.6,3.07,21.15,6.34,1.35,439.2,4.54,11.57,4.66,1.36,322.06,3.91,17.15,5449,990,1.87,890.9,4.58,13.46,7.3,2.36,31.09,8168,11.75,3085,15.58,4121,38.08,769,-15.62,1.81,1.29,0.52,7.46,1.03,5.13,10.96,3.54,3.63,549.35,3.39,21.58,5.79,1.33,347.56,4.52,11.51,5.2,2.5,4.63,15.74
Akron,50.59,72.81,69.28,0.08,545,578,457,0.08,706,784,619,68.5,795.7,-36.8,2.81,3.72,2.04,1.78,1.97,6.42,"1,168.10",669.73,501.32,2.25,2.75,1.64,0.91,2.13,5.34,940.44,566.4,374.05,"4,597.00",802,2.81,"1,168.10",4.98,14.02,7.96,1.83,34.94,8187,13.69,3180,15.63,3717,41.55,760.3,16.15,1.77,1.11,0.66,7.66,2.04,5.53,11.5,3.34,4.75,3.73,22.78,6.2,2.04,501.32,4.95,11.05,4.8,3.72,669.73,5.01,17.66,4547,809,2.25,940.44,4.81,13.67,7.73,2.03,32.97,7148,12.42,2725,14.85,3117,42.41,781,-14.6,1.96,1.27,0.69,7.6,1.56,5.3,11.65,3.4,3.75,566.4,3.69,20.22,5.82,1.64,374.05,4.72,11.15,5.18,2.75,4.84,16.48
Alabama,43.49,75.11,79.25,0.07,471,609,240,0.08,870,721,457,75.5,875.9,90.7,2.1,2.73,1.48,0.86,2.06,4.75,"1,561.43","1,035.99",529.39,2.16,2.7,1.63,1.08,1.71,5,"1,595.95",996.61,604.03,"7,341.00",1265,2.1,"1,561.43",4.54,11.77,7.23,1.83,30.39,10502,11.26,3912,10.65,3816,36.78,722.3,12.39,1.61,0.97,0.64,6.97,1.42,4.96,9.86,3.03,3.69,3.55,18.03,4.74,1.48,529.39,4.54,9.27,5.25,2.73,"1,035.99",4.55,14.14,7400,1255,2.16,"1,595.95",4.61,11.73,7.22,1.87,30.21,11061,11.44,4191,12.17,4450,37.8,720,-12.55,1.62,1,0.62,7.06,1.46,5.07,9.69,2.94,3.86,996.61,3.52,18.79,4.93,1.63,604.03,4.69,9.15,5.06,2.7,4.54,14.35
Appalachian State,48.64,74.23,70.92,0.09,684,626,434,0.09,719,658,474,66.5,808.2,-9.8,2.11,2.78,1.35,0.33,2.03,5.71,"1,603.30","1,005.66",603.44,1.95,2.54,1.44,0.3,1.79,5.34,"1,423.85",864.1,564.8,"8,130.00",1444,2.11,"1,603.30",4.76,13.38,7.61,2.11,32.29,12774,11.7,4617,13.35,5407,41.37,777.2,15.07,1.85,1.13,0.72,7.6,1.43,5.24,11.24,3.4,3.59,3.68,20.14,5.76,1.35,603.44,4.69,10.64,5.24,2.78,"1,005.66",4.78,16.25,8124,1442,1.95,"1,423.85",4.76,13.32,7.33,2.15,31.61,12170,11.87,4567,13.99,5318,39.08,771,-15.39,1.84,1.18,0.66,7.58,1.32,5.3,11.3,3.42,3.34,864.1,3.57,19.95,5.73,1.44,564.8,4.7,11.14,5.27,2.54,4.8,15.73
Arizona,52.7,81.63,85,0.08,522,576,726,0.08,714,618,595,80.5,929.5,138,2.37,3.11,1.68,0.74,2.14,6.57,"1,052.65",675.53,378.76,1.78,2.26,1.27,0.67,0.99,5.48,660.97,453,209.62,"4,574.00",819,2.37,"1,052.65",4.96,13.26,7.35,2.38,31.19,6930,12.88,2860,18.22,4053,41.9,767.2,15.72,1.75,1.14,0.61,7.67,1.71,5.49,11.23,3.33,3.91,3.74,20.27,5.8,1.68,378.76,4.98,11.27,5.2,3.11,675.53,4.89,15.72,4587,828,1.78,660.97,4.72,12.9,7.46,2.35,31.36,6156,12.49,2347,14.8,2679,38.88,781,-14.49,1.91,1.2,0.71,7.49,1.14,5.3,10.9,3.51,3.1,453,3.43,19.43,5.24,1.27,209.62,4.77,11.19,5.76,2.26,4.67,14.63
Arizona State,37.15,61.77,65.1,0.08,502,685,613,0.08,879,754,846,62.5,865.1,74.5,2.31,2.83,1.84,0.76,1.87,6.22,"1,088.82",669.75,420.72,2.48,3.04,1.94,0.93,2.34,6.58,964.49,572.18,392.3,"4,752.00",821,2.31,"1,088.82",4.98,13.03,7.68,2.28,32.25,6998,13.06,2849,16.07,3555,40.1,777.4,14.91,1.73,1.06,0.67,7.62,1.56,5.47,11.02,3.38,4.03,3.87,19.32,5.42,1.84,420.72,5.02,11.29,5.58,2.83,669.75,4.92,14.83,4589,822,2.48,964.49,4.93,13.49,7.71,2.14,33.3,7081,13.55,2781,18.4,3739,40.81,781,-14.71,1.72,1.1,0.61,7.63,1.77,5.47,11.35,3.37,4.1,572.18,3.68,20.74,5.59,1.94,392.3,5.05,11.43,5.41,3.04,4.77,15.88
Arkansas,51.57,83.03,85.67,0.07,507,634,339,0.08,708,573,477,85,925.5,135.7,2.45,3.29,1.62,0.96,2.59,5.78,"1,804.01","1,136.79",667.22,1.9,2.46,1.3,0.62,1.99,4.52,"1,323.43",893.47,445.42,"7,846.00",1357,2.45,"1,804.01",5.04,13.01,8.02,1.93,33.66,12285,12.06,4458,12.53,4939,41.63,773.7,15.04,1.64,0.99,0.65,7.85,1.65,5.51,10.76,3.15,4.44,3.87,21.06,5.59,1.62,667.22,5.13,10,5.41,3.29,"1,136.79",4.98,16.25,7654,1357,1.9,"1,323.43",4.79,12.87,7.56,2.18,31.61,10359,11.7,3877,11.45,3781,38.28,786,-14.1,1.9,1.13,0.77,7.6,1.19,5.29,10.71,3.4,3.5,893.47,3.67,19.89,5.23,1.3,445.42,4.79,10.18,5.76,2.46,4.77,15.46
Arkansas State,48.18,72.42,74.67,0.08,661,640,534,0.09,727,673,507,72.5,813.3,12.5,2.14,2.87,1.47,0.18,1.96,6.45,"1,520.57",874.93,651.63,1.92,2.26,1.66,0.26,1.55,5.61,"1,391.76",762.46,636.78,"7,806.00",1381,2.14,"1,520.57",4.79,13.25,7.61,2.14,32.18,12797,12.18,4822,14.17,5855,41.2,770.7,15.44,1.76,1.1,0.66,7.59,1.29,5.26,10.96,3.41,4.05,3.77,20.34,6.01,1.47,651.63,4.78,10.86,4.99,2.87,874.93,4.78,16.11,7949,1377,1.92,"1,391.76",4.78,12.94,7.44,2.04,33.3,12492,12.3,4616,12.85,4897,39.69,780,-14.82,1.8,1.12,0.68,7.58,1.26,5.3,10.84,3.42,3.34,762.46,3.6,19.69,5.75,1.66,636.78,4.86,10.94,5.25,2.26,4.67,15.37
Army,32.49,57.58,57.06,0.07,587,552,346,0.07,534,483,346,56.5,644.3,-21.6,1.55,2.25,1.03,0.11,0.96,5.05,883.52,478.6,406.96,1.46,2.02,0.85,0.09,1.86,3.99,710.88,458.48,252.4,"4,684.00",818,1.55,883.52,3.8,11.01,6.27,1.75,26.44,7960,9.69,2960,9.85,3223,30.94,631.3,12.58,1.6,1.04,0.57,6.2,0.8,4.21,8.88,2.8,3.2,2.88,17.87,5.12,1.03,406.96,3.8,8.89,3.88,2.25,478.6,3.79,13.77,4551,827,1.46,710.88,3.87,10.89,6,1.86,25.45,6580,9.84,2584,12.29,3152,31.27,642,-11.73,1.68,1.05,0.63,6.12,0.81,4.25,9.14,2.88,2.84,458.48,3.04,16.06,4.62,0.85,252.4,3.81,8.64,4.38,2.02,3.91,13.08
Auburn,46.19,76.59,78.83,0.07,555,623,538,0.08,822,708,554,79.5,903.9,116.7,2.26,2.81,1.77,0.63,2.06,5.82,"1,675.50","1,046.34",631.5,2.26,2.84,1.67,0.8,2.16,5.41,"1,442.67",911.83,537.87,"7,651.00",1331,2.26,"1,675.50",4.96,12.98,7.84,2.06,33.28,11424,12.24,4184,12.92,4451,41.78,780.1,14.57,1.79,1.09,0.7,7.75,1.37,5.34,10.88,3.25,4.42,4.02,19.96,5.44,1.77,631.5,5.01,10.66,5.56,2.81,"1,046.34",4.94,15.47,7468,1328,2.26,"1,442.67",4.92,13.2,7.99,2.01,33.04,10769,12.11,3932,13.61,4363,40.51,778,-14.78,1.79,1.08,0.7,7.67,1.5,5.44,10.91,3.33,4.06,911.83,3.71,21.12,5.36,1.67,537.87,4.94,10.46,5.63,2.84,4.86,15.95
Ball State,44.58,74.74,70.68,0.09,699,655,640,0.09,607,706,618,72,797.6,-48.6,2.3,2.89,1.71,0.82,1.94,5.51,"1,041.65",524.29,520.76,2.01,2.99,1.17,0.6,1.73,5.24,810.82,542.13,274,"4,938.00",871,2.3,"1,041.65",4.75,13.7,7.77,2.08,32.89,8987,12.26,3233,14.62,3983,41.43,764.8,15.81,1.87,1.23,0.64,7.62,1.56,5.26,11.49,3.38,4,3.57,21.46,6.33,1.71,520.76,4.72,11.59,4.66,2.89,524.29,4.65,16.66,4680,875,2.01,810.82,4.71,13.59,7.64,2.12,31.61,7168,11.69,2673,13.12,3021,40.54,770,-15.52,1.9,1.24,0.66,7.53,1.05,5.22,11,3.47,4,542.13,3.54,21.75,5.86,1.17,274,4.6,10.88,5.13,2.99,4.81,16.63
Baylor,44.57,72.55,73.19,0.08,720,683,766,0.08,515,583,524,71.5,900.5,89.4,2.17,2.75,1.65,0.62,2.65,4.91,"1,643.43","1,030.23",622.46,1.71,2.42,1.03,0.08,1.88,4.58,"1,282.50",894.6,395.35,"8,093.00",1515,2.17,"1,643.43",4.73,13.66,7.53,2.39,31.1,11590,12.49,4659,17.35,6483,41.2,769.3,15.55,1.92,1.24,0.68,7.53,1.51,5.26,11.55,3.47,3.6,3.55,20.46,5.56,1.65,622.46,4.7,11.87,5.43,2.75,"1,030.23",4.76,15.62,8135,1507,1.71,"1,282.50",4.5,13.37,7.62,2.38,30.03,11231,11.18,4163,14.37,5300,37.94,777,-14.89,1.92,1.2,0.72,7.45,1.09,5.07,11.09,3.55,3.02,894.6,3.28,20.77,5.51,1.03,395.35,4.4,11.12,5.48,2.42,4.57,15.64
Boise State,46.34,79.02,75.52,0.09,897,872,693,0.09,568,659,734,73,879.3,-54,2.3,2.9,1.75,0.45,2.43,6.23,"1,395.10",856.65,542.21,1.95,2.84,1.14,0.04,2.03,5.48,"1,004.98",716.89,291.1,"6,532.00",1155,2.3,"1,395.10",5.06,15.15,8.39,2.49,34.34,10137,12.94,3829,17.22,5063,42.46,836.9,17.11,1.86,1.26,0.6,8.23,1.42,5.65,12.48,3.77,4.24,3.78,23.78,6.56,1.75,542.21,5.11,12.61,5.44,2.9,856.65,4.95,18.39,6330,1148,1.95,"1,004.98",4.97,14.62,8.26,2.44,33.49,9045,12.22,3306,14.78,3927,41.67,852,-15.93,1.99,1.39,0.6,8.14,0.92,5.5,11.94,3.86,4.16,716.89,3.84,22.87,6.16,1.14,291.1,4.96,11.94,5.83,2.84,4.98,17.59
Boston College,35.78,65.54,63.5,0.08,790,746,734,0.08,845,823,565,61.5,838.7,25.4,1.75,2.23,1.25,0.07,1.63,5.12,"1,329.76",821.17,514.54,2.53,3.15,2,0.71,2.61,6.22,"1,620.43",972.73,653.78,"7,253.00",1335,1.75,"1,329.76",4.53,13.6,7.44,2.3,30.95,10488,12.48,4320,14.57,5226,36.77,785.6,14.17,1.97,1.33,0.64,7.36,0.86,5.07,11.07,3.64,3.47,3.41,21.19,5.56,1.25,514.54,4.57,11.12,5.43,2.23,821.17,4.46,16.11,7493,1330,2.53,"1,620.43",4.9,13.96,8.24,2.25,32.7,11605,13.76,4833,17,5821,41.93,770,-15.42,1.89,1.27,0.62,7.54,1.65,5.43,11.43,3.46,4.43,972.73,3.75,21.93,5.86,2,653.78,5.01,11.43,5.13,3.15,4.77,17.16
Bowling Green,43.88,67.17,61.17,0.09,669,668,676,0.08,895,782,906,62.5,768.5,-74.1,2.38,3.06,1.76,0.99,1.33,6.35,942.68,551.39,394.69,2.51,3.1,2,1.4,2.55,4.98,"1,044.16",597.54,448.23,"4,628.00",808,2.38,942.68,4.79,13.94,7.97,2.1,32.8,7373,12.93,2862,14.46,3191,41.9,771.1,15.38,1.89,1.24,0.65,7.54,1.49,5.27,11.5,3.46,4.38,3.74,21.61,5.97,1.76,394.69,4.67,11.64,5.02,3.06,551.39,4.91,16.48,4519,802,2.51,"1,044.16",5.02,13.37,7.92,1.89,33.91,7597,12.77,2873,15.88,3468,41.64,771,-15.4,1.68,1.02,0.66,7.73,1.97,5.55,11.46,3.27,3.66,597.54,3.67,20.23,6.05,2,448.23,4.95,11.16,4.95,3.1,5.08,15.94
Buffalo,42.16,60.31,61.02,0.08,550,621,525,0.09,757,801,647,57.5,735.8,-79.9,2.18,2.77,1.78,1.18,1.29,5.45,917.9,496.51,423.18,2.29,2.68,1.9,0.71,2.63,5.24,879.69,445.24,436.06,"3,988.00",697,2.18,917.9,4.47,12.31,7.26,1.8,31.31,7128,12.51,2816,12.96,2870,36.6,695.2,14.43,1.72,1.12,0.6,7,1.53,4.98,10.24,3,3.93,3.29,20.05,5.63,1.78,423.18,4.48,10.38,4.36,2.77,496.51,4.43,14.98,3940,694,2.29,879.69,4.46,12.72,7.04,1.87,30.44,6521,11.96,2629,16.04,3455,39.55,693,-14.49,1.72,1.14,0.59,6.95,1.48,4.85,10.78,3.05,4.09,445.24,3.55,18.82,5.52,1.9,436.06,4.39,10.89,4.48,2.68,4.51,14.91
BYU,42.76,67.43,67.6,0.08,728,781,777,0.09,703,775,676,66,857.5,45.3,1.64,1.64,1.47,0.17,1.61,4.79,766.93,380.21,388.45,2.26,3.04,1.59,0.72,1.66,6.09,"1,021.84",656.8,370.57,"5,218.00",954,1.64,766.93,4.67,13.02,7.83,2.31,31.26,7802,12.42,2975,15.94,3758,37.77,771,15.42,1.88,1.22,0.66,7.53,1.24,5.31,11.17,3.47,2.47,3.27,19.52,5.49,1.47,388.45,4.79,11.15,5.51,1.64,380.21,4.48,15.03,5309,966,2.26,"1,021.84",4.76,13.53,7.72,2.35,31.13,7679,12.94,3110,16.48,3942,41.07,774,-15.23,1.83,1.19,0.64,7.47,1.59,5.34,11.55,3.53,3.77,656.8,3.51,20.15,5.62,1.59,370.57,4.75,11.42,5.37,3.04,4.76,15.86
California,46.54,70.72,72.66,0.09,502,696,631,0.09,859,771,837,69.5,907.2,105.8,2.39,2.94,1.81,0.92,1.86,6.29,"1,072.08",660.57,416.91,2.38,3.02,1.8,0.81,2.12,6.14,978.8,600.98,377.82,"4,891.00",870,2.39,"1,072.08",4.97,13.15,7.58,2.33,31.93,7056,12.85,2849,16.75,3855,39.46,778.7,14.85,1.75,1.09,0.65,7.69,1.67,5.48,11.13,3.31,4.08,3.77,19.94,5.4,1.81,416.91,5.03,11.14,5.59,2.94,660.57,4.86,15.26,4888,874,2.38,978.8,4.88,13.55,7.58,2.2,32.56,7219,12.76,2783,17.7,3932,41.29,778,-14.94,1.72,1.11,0.61,7.64,1.62,5.43,11.22,3.36,4.06,600.98,3.61,21.37,5.61,1.8,377.82,4.98,11.35,5.39,3.02,4.77,16.01
Central Michigan,48.02,71.24,65.48,0.09,597,624,572,0.09,822,865,643,68.5,795.2,-56.8,2.49,3.55,1.5,1.26,1.45,6,"1,014.11",726.34,291.17,2.35,2.98,1.72,1.12,2.51,4.62,"1,006.22",612.7,395.13,"4,621.00",802,2.49,"1,014.11",4.88,13.87,7.71,2.05,32.89,6951,12.44,2568,12.76,2507,42.28,757.2,16.38,1.9,1.24,0.67,7.63,1.54,5.35,11.42,3.37,4.8,3.81,21.96,5.76,1.5,291.17,4.79,10.88,5.23,3.55,726.34,4.95,17.01,4444,809,2.35,"1,006.22",4.96,13.41,7.61,2.12,32.48,6882,12.57,2716,16.23,3419,43.17,779,-14.7,1.95,1.22,0.73,7.71,1.58,5.45,11.35,3.29,4.06,612.7,3.72,20.48,5.81,1.72,395.13,4.94,11.07,5.18,2.98,4.95,15.95
Charlotte,41.9,60.53,56.1,0.08,917,755,808,0.08,597,662,690,55,729.8,-102,1.2,1.27,1.17,-0.3,0.96,4.36,731.11,357.35,375.44,1.8,2.11,1.54,0.45,1.3,5.33,"1,111.81",576.91,536.82,"5,907.00",1061,1.2,731.11,4.02,11.98,7.35,1.93,28.78,8864,10.05,3138,12.04,3670,34.73,697.8,14.09,1.8,1.18,0.62,6.75,0.53,4.45,9.93,3.25,2.57,3.11,18.15,5.28,1.17,375.44,4.15,9.99,4.72,1.27,357.35,3.87,14.53,5992,1072,1.8,"1,111.81",4.33,11.92,7.12,1.82,30.24,9851,11.16,3626,14.76,4842,35.91,712,-13.42,1.63,1.06,0.57,6.92,1.15,4.75,9.87,3.08,3.25,576.91,3.36,18.36,5.43,1.54,536.82,4.36,9.91,4.57,2.11,4.27,14.35
Cincinnati,36.92,63.17,61.15,0.08,864,689,630,0.08,607,846,556,62,821.3,-5.2,1.85,2.56,1.2,0.3,1.39,5.54,"1,225.37",757.34,475.56,2.05,3.06,1.23,0.46,2,5.39,"1,239.86",836.01,418.22,"6,863.00",1223,1.85,"1,225.37",4.53,13.65,8.25,2.12,31.85,10769,11.76,3990,13.24,4697,39.77,776.4,15.14,1.99,1.27,0.72,7.38,1.14,5.1,11.05,3.62,3.3,3.38,21.71,5.84,1.2,475.56,4.53,10.8,5.15,2.56,757.34,4.51,17.11,6697,1218,2.05,"1,239.86",4.68,13.71,7.75,2.16,31.83,10234,12.13,3943,14.03,4617,42.14,779,-14.96,2.04,1.32,0.72,7.43,1.11,5.18,11.16,3.57,3.97,836.01,3.61,21.43,5.86,1.23,418.22,4.53,11.05,5.13,3.06,4.83,16.82
Clemson,34.69,61.87,61.12,0.08,725,668,853,0.07,723,658,611,60.5,798.3,51.9,1.71,2,1.38,0.04,1.49,5.37,"1,207.66",727.47,492.84,2.02,2.72,1.37,0.35,2.29,5.1,"1,458.06",944.38,522.1,"7,023.00",1276,1.71,"1,207.66",4.18,12.46,7.26,2.18,28.07,9757,11.54,4030,13.59,4768,35.46,707.5,13.36,1.89,1.24,0.65,6.67,0.82,4.68,9.97,3.33,3.51,3.18,19.85,4.96,1.38,492.84,4.35,10.05,5.04,2,727.47,3.98,15.02,7293,1280,2.02,"1,458.06",4.42,12.18,7.47,2.04,28.57,10752,11.43,4317,13.25,5041,36.74,700,-14.02,1.68,1.09,0.59,6.87,1.25,4.9,9.99,3.13,3.69,944.38,3.34,19.21,5.13,1.37,522.1,4.44,9.83,4.86,2.72,4.37,14.82
